Function,Threads,Time(s),FLOP/s,Memory(Bytes)
linear_layer_omp,118,0.026694,30168268881.66,29458432
linear_layer_omp,119,0.019913,40440838587.77,29458432
linear_layer_omp,120,0.026829,30016259991.01,29458432
linear_layer_omp,121,0.024160,33332014807.60,29458432
linear_layer_omp,122,0.035587,22629334462.41,29458432
linear_layer_omp,123,0.028964,27803659087.02,29458432
linear_layer_omp,124,0.036833,21863690751.63,29458432
linear_layer_omp,125,0.031620,25468430969.95,29458432
linear_layer_omp,126,0.031253,25767444695.98,29458432
linear_layer_omp,127,0.021726,37066663599.76,29458432
linear_layer_omp,128,0.033950,23720467713.47,29458432
linear_layer_omp,129,0.033658,23926130681.21,29458432
linear_layer_omp,130,0.024334,33093938318.39,29458432
linear_layer_omp,131,0.027217,29588455451.56,29458432
linear_layer_omp,132,0.029957,26882240230.87,29458432
linear_layer_omp,133,0.031378,25664656068.57,29458432
linear_layer_omp,134,0.029483,27314187339.00,29458432
linear_layer_omp,135,0.032500,24778635663.92,29458432
linear_layer_omp,136,0.028498,28258411937.92,29458432
linear_layer_omp,137,0.033843,23795331533.57,29458432
linear_layer_omp,138,0.044013,18297001801.30,29458432
linear_layer_omp,139,0.027941,28821684917.43,29458432
linear_layer_omp,140,0.022956,35080592004.15,29458432
linear_layer_omp,141,0.026266,30659813923.66,29458432
linear_layer_omp,142,0.022726,35435744400.67,29458432
linear_layer_omp,143,0.022555,35703938781.31,29458432
linear_layer_omp,144,0.021850,36856344814.53,29458432
linear_layer_omp,145,0.032349,24894235937.91,29458432
linear_layer_omp,146,0.019401,41508340754.15,29458432
linear_layer_omp,147,0.025381,31728896909.75,29458432
linear_layer_omp,148,0.023994,33562866119.44,29458432
linear_layer_omp,149,0.021242,37910789715.90,29458432
linear_layer_omp,150,0.021832,36886531839.33,29458432
linear_layer_omp,151,0.023624,34088566704.96,29458432
linear_layer_omp,152,0.026459,30436033777.52,29458432
linear_layer_omp,153,0.022478,35826259233.43,29458432
linear_layer_omp,154,0.032442,24822885829.03,29458432
linear_layer_omp,155,0.018078,44545990379.53,29458432
linear_layer_omp,156,0.028896,27869039517.88,29458432
linear_layer_omp,157,0.019989,40287448956.68,29458432
linear_layer_omp,158,0.029328,27458740919.66,29458432
linear_layer_omp,159,0.023898,33697807357.99,29458432
linear_layer_omp,160,0.017816,45201131072.56,29458432
linear_layer_omp,161,0.020466,39348785187.88,29458432
linear_layer_omp,162,0.017153,46948359448.58,29458432
linear_layer_omp,163,0.022329,36065728324.77,29458432
linear_layer_omp,164,0.021606,37272403175.03,29458432
linear_layer_omp,165,0.021679,37146561828.77,29458432
linear_layer_omp,166,0.021448,37547101685.52,29458432
linear_layer_omp,167,0.024629,32697331324.93,29458432
linear_layer_omp,168,0.021193,37998646872.85,29458432
linear_layer_omp,169,0.019641,41001453271.76,29458432
linear_layer_omp,170,0.021136,38101089897.78,29458432
linear_layer_omp,171,0.021648,37200155515.85,29458432
linear_layer_omp,172,0.016193,49732025685.80,29458432
linear_layer_omp,173,0.029786,27036305514.42,29458432
linear_layer_omp,174,0.018542,43431352567.51,29458432
linear_layer_omp,175,0.016802,47929670231.13,29458432
linear_layer_omp,176,0.019535,41223634550.48,29458432
linear_layer_omp,177,0.026986,29841763811.46,29458432
linear_layer_omp,178,0.022412,35931828989.80,29458432
linear_layer_omp,179,0.031575,25504392465.25,29458432
linear_layer_omp,180,0.019821,40629093889.79,29458432
linear_layer_omp,181,0.015409,52262103056.29,29458432
linear_layer_omp,182,0.017462,46117607904.42,29458432
linear_layer_omp,183,0.017036,47270967622.92,29458432
linear_layer_omp,184,0.019493,41312374272.60,29458432
linear_layer_omp,185,0.019371,41572712196.34,29458432
linear_layer_omp,186,0.016270,49496632823.78,29458432
linear_layer_omp,187,0.019333,41654228323.54,29458432
linear_layer_omp,188,0.018119,44445171790.04,29458432
linear_layer_omp,189,0.017029,47290160595.42,29458432
linear_layer_omp,190,0.015045,53525921027.63,29458432
linear_layer_omp,191,0.016846,47803500248.07,29458432
linear_layer_omp,192,0.030244,26626880882.03,29458432
linear_layer_omp,193,0.021569,37336263173.62,29458432
linear_layer_omp,194,0.019447,41410125670.04,29458432
linear_layer_omp,195,0.017038,47265014350.47,29458432
linear_layer_omp,196,0.018518,43487829542.01,29458432
linear_layer_omp,197,0.019419,41470118976.63,29458432
linear_layer_omp,198,0.023959,33611627995.54,29458432
linear_layer_omp,199,0.021393,37643345189.71,29458432
linear_layer_omp,200,0.017790,45267767241.98,29458432
linear_layer_omp,201,0.018983,42422754590.91,29458432
linear_layer_omp,202,0.014137,56964326174.68,29458432
linear_layer_omp,203,0.019564,41162345176.92,29458432
linear_layer_omp,204,0.018135,44406022829.83,29458432
linear_layer_omp,205,0.021210,37968320056.29,29458432
linear_layer_omp,206,0.026175,30766215369.24,29458432
linear_layer_omp,207,0.017418,46234391706.74,29458432
linear_layer_omp,208,0.014546,55363050656.09,29458432
linear_layer_omp,209,0.017925,44926375916.47,29458432
linear_layer_omp,210,0.015220,52911316642.82,29458432
linear_layer_omp,211,0.013684,58850069178.99,29458432
linear_layer_omp,212,0.014038,57366798358.12,29458432
linear_layer_omp,213,0.014942,53895736792.58,29458432
linear_layer_omp,214,0.015238,52848398925.54,29458432
linear_layer_omp,215,0.014078,57202610088.87,29458432
linear_layer_omp,216,0.017453,46141547757.99,29458432
linear_layer_omp,217,0.022870,35212615540.88,29458432
linear_layer_omp,218,0.013800,58355932353.07,29458432
linear_layer_omp,219,0.016337,49293653432.88,29458432
linear_layer_omp,220,0.018024,44679749735.81,29458432
linear_layer_omp,221,0.014312,56267799239.17,29458432
linear_layer_omp,222,0.013475,59763256317.06,29458432
linear_layer_omp,223,0.015203,52970230538.65,29458432
linear_layer_omp,224,0.014089,57158082386.16,29458432
linear_layer_omp,225,0.019061,42248708166.91,29458432
linear_layer_omp,226,0.017511,45988259840.81,29458432
linear_layer_omp,227,0.013909,57897799422.82,29458432
linear_layer_omp,228,0.014486,55591759583.40,29458432
linear_layer_omp,229,0.012084,66642327372.11,29458432
linear_layer_omp,230,0.016589,48544815541.01,29458432
linear_layer_omp,231,0.015034,53565816967.63,29458432
linear_layer_omp,232,0.016150,49864178460.06,29458432
linear_layer_omp,233,0.012794,62943977498.56,29458432
linear_layer_omp,234,0.013499,59656647424.50,29458432
linear_layer_omp,235,0.012733,63245697497.06,29458432
linear_layer_omp,236,0.017066,47187758040.34,29458432
linear_layer_omp,237,0.013471,59780179825.99,29458432
linear_layer_omp,238,0.017011,47339869944.33,29458432
linear_layer_omp,239,0.016439,48987668172.99,29458432
linear_layer_omp,240,0.012695,63435745793.63,29458432
linear_layer_omp,241,0.016972,47448932662.71,29458432
