Function,Threads,Time(s),FLOP/s,Memory(Bytes)
compute_output_omp,122,0.027000,9942072186.59,25165824
compute_output_omp,123,0.014710,18248564083.81,25165824
compute_output_omp,124,0.014726,18228768830.93,25165824
compute_output_omp,125,0.014165,18950715458.87,25165824
compute_output_omp,126,0.014056,19097615246.25,25165824
compute_output_omp,127,0.014788,18152063761.05,25165824
compute_output_omp,128,0.014206,18895693661.87,25165824
compute_output_omp,129,0.013540,19825322794.86,25165824
compute_output_omp,130,0.016130,16642030136.32,25165824
compute_output_omp,131,0.013270,20228532795.10,25165824
compute_output_omp,132,0.014430,18602536297.05,25165824
compute_output_omp,133,0.015526,17289352234.19,25165824
compute_output_omp,134,0.013867,19357998467.09,25165824
compute_output_omp,135,0.012881,20839964218.02,25165824
compute_output_omp,136,0.014583,18407584514.72,25165824
compute_output_omp,137,0.015240,17613928237.08,25165824
compute_output_omp,138,0.014272,18808571638.34,25165824
compute_output_omp,139,0.014191,18915693472.04,25165824
compute_output_omp,140,0.012519,21442445091.08,25165824
compute_output_omp,141,0.014260,18824609711.46,25165824
compute_output_omp,142,0.013906,19303567994.42,25165824
compute_output_omp,143,0.017734,15136725374.99,25165824
compute_output_omp,144,0.012224,21959780516.13,25165824
compute_output_omp,145,0.017307,15510185929.97,25165824
compute_output_omp,146,0.015324,17517463115.81,25165824
compute_output_omp,147,0.016941,15845470506.55,25165824
compute_output_omp,148,0.013404,20026679239.46,25165824
compute_output_omp,149,0.014050,19105717068.43,25165824
compute_output_omp,150,0.012425,21604557447.95,25165824
compute_output_omp,151,0.012385,21674429346.68,25165824
compute_output_omp,152,0.020004,13419066145.94,25165824
compute_output_omp,153,0.012146,22100736236.70,25165824
compute_output_omp,154,0.017890,15004796455.60,25165824
compute_output_omp,155,0.011230,23903441612.73,25165824
compute_output_omp,156,0.016239,16530368176.10,25165824
compute_output_omp,157,0.011956,22451989288.34,25165824
compute_output_omp,158,0.015777,17014490907.81,25165824
compute_output_omp,159,0.014176,18935735663.95,25165824
compute_output_omp,160,0.015451,17373389915.17,25165824
compute_output_omp,161,0.012734,21080320292.88,25165824
compute_output_omp,162,0.016354,16414210004.56,25165824
compute_output_omp,163,0.012766,21027171665.75,25165824
compute_output_omp,164,0.012638,21240188402.55,25165824
compute_output_omp,165,0.012017,22337954225.79,25165824
compute_output_omp,166,0.012346,21743074945.78,25165824
compute_output_omp,167,0.015074,17807827708.07,25165824
compute_output_omp,168,0.026453,10147630568.56,25165824
compute_output_omp,169,0.011858,22637524264.97,25165824
compute_output_omp,170,0.010544,25459024666.30,25165824
compute_output_omp,171,0.025601,10485387200.75,25165824
compute_output_omp,172,0.012231,21947366605.12,25165824
compute_output_omp,173,0.024319,11038017949.09,25165824
compute_output_omp,174,0.025761,10420271421.69,25165824
compute_output_omp,175,0.009961,26948298392.60,25165824
compute_output_omp,176,0.011219,23926808628.92,25165824
compute_output_omp,177,0.012873,20852315198.77,25165824
compute_output_omp,178,0.012649,21222172296.43,25165824
compute_output_omp,179,0.011454,23435741785.16,25165824
compute_output_omp,180,0.013677,19626606471.47,25165824
compute_output_omp,181,0.015419,17409387475.92,25165824
compute_output_omp,182,0.010809,24834566499.97,25165824
compute_output_omp,183,0.011797,22754646460.04,25165824
compute_output_omp,184,0.010835,24775000700.68,25165824
compute_output_omp,185,0.011182,24005882749.68,25165824
compute_output_omp,186,0.011931,22499098893.78,25165824
compute_output_omp,187,0.011001,24400760843.54,25165824
compute_output_omp,188,0.014299,18773133471.88,25165824
compute_output_omp,189,0.008292,32372981018.51,25165824
compute_output_omp,190,0.010375,25873239885.16,25165824
compute_output_omp,191,0.011784,22779506875.79,25165824
compute_output_omp,192,0.013573,19777264783.20,25165824
compute_output_omp,193,0.012410,21630706554.01,25165824
compute_output_omp,194,0.012261,21893592868.25,25165824
compute_output_omp,195,0.010309,26038990421.67,25165824
compute_output_omp,196,0.009702,27668147023.88,25165824
compute_output_omp,197,0.010238,26219694623.85,25165824
compute_output_omp,198,0.008809,30473378267.32,25165824
compute_output_omp,199,0.012671,21185035691.16,25165824
compute_output_omp,200,0.011963,22439012811.76,25165824
compute_output_omp,201,0.012982,20677304491.06,25165824
compute_output_omp,202,0.007820,34327263234.93,25165824
compute_output_omp,203,0.013528,19843142524.54,25165824
compute_output_omp,204,0.010946,24523532635.81,25165824
compute_output_omp,205,0.009813,27354889740.83,25165824
compute_output_omp,206,0.010910,24604456006.18,25165824
compute_output_omp,207,0.009541,28134836994.42,25165824
compute_output_omp,208,0.013549,19812414775.16,25165824
compute_output_omp,209,0.009604,27950447019.58,25165824
compute_output_omp,210,0.009226,29095276296.42,25165824
compute_output_omp,211,0.009568,28055615530.20,25165824
compute_output_omp,212,0.008276,32435466318.35,25165824
compute_output_omp,213,0.017931,14970480624.97,25165824
compute_output_omp,214,0.008845,30349342467.05,25165824
compute_output_omp,215,0.012964,20706205183.31,25165824
compute_output_omp,216,0.010347,25942991931.67,25165824
compute_output_omp,217,0.009773,27467672770.01,25165824
compute_output_omp,218,0.008149,32941277007.60,25165824
compute_output_omp,219,0.010436,25721920562.06,25165824
compute_output_omp,220,0.009717,27625378026.37,25165824
compute_output_omp,221,0.008882,30222255511.96,25165824
compute_output_omp,222,0.008544,31417247728.40,25165824
compute_output_omp,223,0.010308,26041399487.51,25165824
compute_output_omp,224,0.010315,26023943852.69,25165824
compute_output_omp,225,0.007763,34579235468.14,25165824
compute_output_omp,226,0.018595,14435909720.65,25165824
compute_output_omp,227,0.006979,38463374789.65,25165824
compute_output_omp,228,0.016684,16089341033.51,25165824
compute_output_omp,229,0.010521,25514410506.77,25165824
compute_output_omp,230,0.023144,11598486776.37,25165824
compute_output_omp,231,0.007667,35012591561.48,25165824
compute_output_omp,232,0.009011,29789652251.43,25165824
compute_output_omp,233,0.010756,24956774102.11,25165824
compute_output_omp,234,0.014336,18724428851.53,25165824
compute_output_omp,235,0.009935,27018787810.29,25165824
compute_output_omp,236,0.008227,32629105281.48,25165824
compute_output_omp,237,0.008613,31166779428.17,25165824
compute_output_omp,238,0.008667,30972158528.90,25165824
compute_output_omp,239,0.008289,32384154711.15,25165824
compute_output_omp,240,0.008715,30801846820.85,25165824
compute_output_omp,241,0.008752,30670950089.70,25165824
compute_output_omp,242,0.009813,27355554372.00,25165824
compute_output_omp,243,0.007294,36802533482.91,25165824
compute_output_omp,244,0.010328,25990902533.36,25165824
compute_output_omp,245,0.006734,39863330507.10,25165824
compute_output_omp,246,0.007177,37402827282.00,25165824
compute_output_omp,247,0.006428,41760317007.63,25165824
compute_output_omp,248,0.008100,33140045530.19,25165824
compute_output_omp,249,0.007707,34830623568.22,25165824
compute_output_omp,250,0.010320,26011318166.63,25165824
compute_output_omp,251,0.007333,36606297975.83,25165824
compute_output_omp,252,0.012832,20919342019.71,25165824
compute_output_omp,253,0.007188,37344519116.48,25165824
compute_output_omp,254,0.008223,32644242007.61,25165824
compute_output_omp,255,0.008833,30390301955.37,25165824
compute_output_omp,256,0.006865,39101892993.08,25165824
compute_output_omp,257,0.007237,37092307664.32,25165824
compute_output_omp,258,0.009054,29648450476.44,25165824
compute_output_omp,259,0.007304,36750878275.32,25165824
compute_output_omp,260,0.006472,41475720431.84,25165824
compute_output_omp,261,0.006550,40982051717.78,25165824
compute_output_omp,262,0.007182,37375511447.44,25165824
compute_output_omp,263,0.007417,36192095755.01,25165824
compute_output_omp,264,0.008567,31333312187.76,25165824
compute_output_omp,265,0.030507,8799117718.92,25165824
compute_output_omp,266,0.008192,32768704177.73,25165824
compute_output_omp,267,0.010862,24713549910.94,25165824
compute_output_omp,268,0.007922,33885090644.43,25165824
compute_output_omp,269,0.008866,30276707097.71,25165824
compute_output_omp,270,0.008978,29898821118.06,25165824
compute_output_omp,271,0.007808,34379672870.70,25165824
compute_output_omp,272,0.007015,38265979228.58,25165824
compute_output_omp,273,0.010013,26809055571.65,25165824
compute_output_omp,274,0.006983,38441049774.41,25165824
compute_output_omp,275,0.008800,30503925950.76,25165824
compute_output_omp,276,0.007054,38055158076.21,25165824
compute_output_omp,277,0.011797,22754646460.04,25165824
compute_output_omp,278,0.007692,34897557785.78,25165824
compute_output_omp,279,0.006897,38920765584.99,25165824
compute_output_omp,280,0.008188,32783970731.81,25165824
compute_output_omp,281,0.006890,38959822375.95,25165824
compute_output_omp,282,0.007417,36192095755.01,25165824
compute_output_omp,283,0.007179,37391647797.90,25165824
compute_output_omp,284,0.006880,39016526556.56,25165824
compute_output_omp,285,0.007916,33910604988.94,25165824
compute_output_omp,286,0.008782,30566035206.80,25165824
compute_output_omp,287,0.007757,34604742649.45,25165824
compute_output_omp,288,0.008774,30594274798.04,25165824
compute_output_omp,289,0.007931,33845364842.26,25165824
compute_output_omp,290,0.008955,29976035858.43,25165824
compute_output_omp,291,0.009843,27271403823.24,25165824
compute_output_omp,292,0.009256,29000847612.05,25165824
compute_output_omp,293,0.007066,37989671925.05,25165824
compute_output_omp,294,0.007377,36388607570.62,25165824
compute_output_omp,295,0.007781,34498710223.15,25165824
compute_output_omp,296,0.007183,37371789651.89,25165824
compute_output_omp,297,0.008174,32839431437.73,25165824
compute_output_omp,298,0.009145,29353179519.84,25165824
compute_output_omp,299,0.007445,36056488402.06,25165824
compute_output_omp,300,0.007461,35978139798.13,25165824
compute_output_omp,301,0.006006,44694530064.02,25165824
compute_output_omp,302,0.007384,36354533640.38,25165824
compute_output_omp,303,0.007747,34649470882.09,25165824
compute_output_omp,304,0.007428,36138658540.93,25165824
compute_output_omp,305,0.006896,38926148072.28,25165824
compute_output_omp,306,0.007769,34552705442.46,25165824
compute_output_omp,307,0.007519,35700919771.78,25165824
compute_output_omp,308,0.006463,41533861105.31,25165824
compute_output_omp,309,0.008168,32864354092.14,25165824
compute_output_omp,310,0.006504,41271990720.04,25165824
compute_output_omp,311,0.006915,38820118844.35,25165824
compute_output_omp,312,0.007431,36123585306.81,25165824
compute_output_omp,313,0.012212,21981216822.06,25165824
compute_output_omp,314,0.009806,27374177166.12,25165824
compute_output_omp,315,0.006915,38818780404.17,25165824
compute_output_omp,316,0.007035,38157044323.13,25165824
compute_output_omp,317,0.010824,24799557419.44,25165824
compute_output_omp,318,0.011782,22783655560.69,25165824
compute_output_omp,319,0.009815,27349573853.88,25165824
compute_output_omp,320,0.009617,27912336238.26,25165824
compute_output_omp,321,0.010752,24965628339.23,25165824
compute_output_omp,322,0.008828,30407537927.53,25165824
compute_output_omp,323,0.007503,35776927449.72,25165824
compute_output_omp,324,0.009527,28175673344.41,25165824
compute_output_omp,325,0.008232,32608315188.91,25165824
compute_output_omp,326,0.007279,36878477132.09,25165824
compute_output_omp,327,0.008057,33316562314.10,25165824
compute_output_omp,328,0.008154,32921049907.68,25165824
compute_output_omp,329,0.007304,36752077912.28,25165824
compute_output_omp,330,0.007765,34569679966.92,25165824
compute_output_omp,331,0.007322,36661128157.42,25165824
compute_output_omp,332,0.006991,38397786878.20,25165824
compute_output_omp,333,0.006972,38501518546.07,25165824
compute_output_omp,334,0.007475,35911581616.57,25165824
compute_output_omp,335,0.007506,35762154395.79,25165824
compute_output_omp,336,0.008727,30758930904.89,25165824
compute_output_omp,337,0.006964,38546335267.99,25165824
compute_output_omp,338,0.009883,27160878750.46,25165824
compute_output_omp,339,0.007308,36731694729.30,25165824
compute_output_omp,340,0.008518,31513978415.28,25165824
compute_output_omp,341,0.009545,28122890142.19,25165824
compute_output_omp,342,0.007813,34357641343.99,25165824
compute_output_omp,343,0.009633,27866740262.92,25165824
compute_output_omp,344,0.007246,37045930075.11,25165824
compute_output_omp,345,0.007430,36128221885.59,25165824
compute_output_omp,346,0.007289,36826608669.17,25165824
compute_output_omp,347,0.009591,27987966263.36,25165824
compute_output_omp,348,0.009649,27819918135.03,25165824
compute_output_omp,349,0.007897,33991483465.95,25165824
compute_output_omp,350,0.010144,26462498104.28,25165824
compute_output_omp,351,0.007990,33595915222.23,25165824
compute_output_omp,352,0.006080,44149474819.33,25165824
compute_output_omp,353,0.008064,33287996536.16,25165824
compute_output_omp,354,0.007423,36161872710.54,25165824
compute_output_omp,355,0.006206,43253934185.27,25165824
compute_output_omp,356,0.007718,34781128381.66,25165824
compute_output_omp,357,0.010092,26598783501.68,25165824
compute_output_omp,358,0.008184,32800207039.64,25165824
compute_output_omp,359,0.008310,32303319757.92,25165824
compute_output_omp,360,0.011414,23517982763.98,25165824
