method,input_bytes,GFLOPS
crude,1048576,36.259825
crude,2119936,50.374881
crude,4194304,58.792495
crude,8386816,76.441696
crude,16777216,65.583555
crude,33547264,57.780181
crude,67108864,60.612026
crude,134189056,76.025109
crude,268435456,75.607985
crude,4733440000,68.292996
