Function,Threads,Time(s),FLOP/s,Memory(Bytes)
softmax_omp,392,0.002180,9619524302.50,33554432
softmax_omp,393,0.002513,8344647587.71,33554432
softmax_omp,394,0.002929,7160026880.10,33554432
softmax_omp,395,0.002924,7172287200.10,33554432
softmax_omp,396,0.002146,9772350874.58,33554432
softmax_omp,397,0.002857,7340476526.92,33554432
softmax_omp,398,0.002530,8288817397.48,33554432
softmax_omp,399,0.002854,7347834785.91,33554432
softmax_omp,400,0.002173,9651188306.13,33554432
softmax_omp,401,0.002148,9762589369.82,33554432
softmax_omp,402,0.002840,7384228527.71,33554432
softmax_omp,403,0.002845,7371233572.62,33554432
softmax_omp,404,0.003194,6566208586.30,33554432
softmax_omp,405,0.002151,9749604325.21,33554432
softmax_omp,406,0.002495,8406052200.12,33554432
softmax_omp,407,0.002743,7645452431.30,33554432
softmax_omp,408,0.013297,1577152159.19,33554432
softmax_omp,409,0.003682,5695844733.67,33554432
softmax_omp,410,0.002923,7174627261.18,33554432
softmax_omp,411,0.002544,8242988494.24,33554432
softmax_omp,412,0.029132,719881905.11,33554432
softmax_omp,413,0.002454,8546534222.90,33554432
softmax_omp,414,0.002530,8289598550.76,33554432
softmax_omp,415,0.002486,8435071943.05,33554432
softmax_omp,416,0.002510,8355745247.66,33554432
softmax_omp,417,0.002471,8487160384.22,33554432
softmax_omp,418,0.002212,9480591746.29,33554432
softmax_omp,419,0.002604,8053555230.00,33554432
softmax_omp,420,0.002919,7184589579.52,33554432
softmax_omp,421,0.002873,7299662259.09,33554432
softmax_omp,422,0.002827,7417855474.96,33554432
softmax_omp,423,0.002554,8211438594.29,33554432
softmax_omp,424,0.002915,7193991185.25,33554432
softmax_omp,425,0.003200,6553489064.38,33554432
softmax_omp,426,0.002882,7276714942.26,33554432
softmax_omp,427,0.002921,7179897985.64,33554432
softmax_omp,428,0.002535,8272447119.54,33554432
softmax_omp,429,0.002854,7347834785.91,33554432
softmax_omp,430,0.002549,8227568068.66,33554432
softmax_omp,431,0.002503,8378827416.85,33554432
softmax_omp,432,0.002577,8137749118.52,33554432
softmax_omp,433,0.002894,7246143028.43,33554432
softmax_omp,434,0.002901,7229467430.10,33554432
softmax_omp,435,0.002863,7325194055.80,33554432
softmax_omp,436,0.002581,8124970462.04,33554432
softmax_omp,437,0.003201,6551536587.37,33554432
softmax_omp,438,0.002516,8335158743.68,33554432
softmax_omp,439,0.002931,7155367300.26,33554432
softmax_omp,440,0.002585,8112980097.96,33554432
softmax_omp,441,0.003276,6401814426.64,33554432
softmax_omp,442,0.013326,1573709704.48,33554432
softmax_omp,443,0.002554,8210672101.38,33554432
softmax_omp,444,0.002573,8150568033.92,33554432
softmax_omp,445,0.002831,7407860049.02,33554432
softmax_omp,446,0.002867,7314838272.11,33554432
softmax_omp,447,0.002499,8391617079.00,33554432
softmax_omp,448,0.002496,8402037465.10,33554432
softmax_omp,449,0.002907,7214051523.18,33554432
